Day,Time,Class,LocationCode,LocationName,Instructor
Monday,5:15am-6:00am,BODYCOMBAT™,S,Studio,KATHY F
Monday,5:30am-6:00am,GRIT - STRENGTH™,SPC,Sports Performance Center,DANIELLE B
Monday,7:15am-7:45am,GRIT - STRENGTH™,SPC,Sports Performance Center,MELANIE
Monday,8:00am-8:45am,UPBEAT PILATES™,MB,Mindbody,JADA B
Monday,8:15am-9:00am,TOTAL BODY STRONG,S,Studio,CAROL
Monday,8:35am-9:20am,AQUA CIRCUIT,LP,Large Pool,RON
Monday,9:00am-10:00am,ACTIVE YOGA,MB,Mindbody,SUSAN
Monday,9:15am-10:00am,CARDIO DANCE,S,Studio,CAROL
Monday,9:15am-10:15am,GROUP CYCLE,C,Cycle Stadium,LISA BA
Monday,9:30am-10:15am,AQUAFIT,EP,Pool,RON
Monday,10:15am-11:00am,AQUA IN MOTION,FP,Family Pool,SAM R
Monday,10:15am-11:15am,BODYBALANCE™,MB,Mindbody,DANIELLE
Monday,10:15am-11:00am,UPBEAT BARRE™,S,Studio,TIA
Monday,10:30am-11:15am,SILVERSNEAKERS YOGA,FG,Family Gym,TESS
Monday,4:15pm-5:15pm,UPBEAT PILATES™,MB,Mindbody,GIL
Monday,4:30pm-5:30pm,BODYCOMBAT™,S,Studio,HEATHER R
Monday,5:30pm-6:30pm,ACTIVE YOGA,MB,Mindbody,KIM S
Monday,5:45pm-6:15pm,Les Mills CORE™,S,Studio,HEATHER R
Monday,6:00pm-7:00pm,GROUP CYCLE,C,Cycle Stadium,MEREDITH
Monday,6:30pm-7:30pm,BODYPUMP™,S,Studio,JENN W
Monday,6:45pm-7:30pm,WERQ™,MB,Mindbody,WENDI
Monday,7:45pm-8:15pm,BODYBALANCE™,S,Studio,JENN W
Monday,11:30pm-11:59pm,GENTLE YOGA,MB,Mindbody,JESS G
Monday,11:30pm-11:59pm,SILVERSNEAKERS ® CIRCUIT,FG,Family Gym,SAM R
Tuesday,5:15am-6:15am,BODYPUMP™,S,Studio,MELANIE
Tuesday,5:30am-6:15am,BOOTCAMP,SPC,Sports Performance Center,MIKEY
Tuesday,5:45am-6:45am,GROUP CYCLE,C,Cycle Stadium,KARIN
Tuesday,8:30am-9:15am,CARDIO DANCE,MB,Mindbody,SAM R
Tuesday,8:35am-9:20am,AQUAFIT,EP,Pool,CHAR
Tuesday,9:00am-9:45am,UPBEAT BARRE™,S,Studio,SARA
Tuesday,9:15am-10:00am,Les Mills RPM™,C,Cycle Stadium,ADRIANA
Tuesday,9:30am-10:15am,AQUA ZUMBA®,EP,Pool,ALISA
Tuesday,9:30am-10:15am,PILATES,MB,Mindbody,LAURIE
Tuesday,10:00am-11:00am,BODYCOMBAT™,S,Studio,DANIELLE
Tuesday,10:30am-11:15am,FEELING FIT,FG,Family Gym,SAM R
Tuesday,4:15pm-5:15pm,ACTIVE YOGA,MB,Mindbody,MEGAN
Tuesday,5:15pm-6:15pm,BODYCOMBAT™,S,Studio,KELLY M
Tuesday,5:30pm-6:30pm,GENTLE YOGA,MB,Mindbody,SANDY P
Tuesday,5:30pm-6:15pm,Les Mills RPM™,C,Cycle Stadium,JAYME
Tuesday,6:30pm-7:30pm,BODYPUMP™,S,Studio,PIERCE
Tuesday,6:45pm-7:45pm,ZUMBA®,MB,Mindbody,NANETTE
Tuesday,11:00am-12:00pm,GENTLE YOGA,MB,Mindbody,SUSAN
Tuesday,11:15am-12:00pm,UPBEAT LIFT™,S,Studio,KRISTY H
Tuesday,11:30am-12:15pm,SILVERSNEAKERS YOGA,FG,Family Gym,JESS G
Wednesday,5:30am-6:00am,GRIT - ATHLETIC™,SPC,Sports Performance Center,MIKEY
Wednesday,5:45am-6:45am,ACTIVE YOGA,MB,Mindbody,JOAN
Wednesday,6:15am-7:00am,UPBEAT LIFT™,S,Studio,GIL G
Wednesday,8:00am-8:45am,HIGH FITNESS®,MB,Mindbody,GIL G
Wednesday,8:15am-9:00am,TRX BODY BLAST®,S,Studio,CAROL
Wednesday,8:35am-9:20am,AQUAFIT,LP,Large Pool,ANDREA K
Wednesday,9:00am-10:00am,ACTIVE YOGA,MB,Mindbody,JOAN
Wednesday,9:15am-10:15am,GROUP CYCLE,C,Cycle Stadium,MINDY
