Name,Address,City,State,ZIP,Phone,Description
Schottland Family YMCA,2300 West Jefferson Road,Pittsford,NY,14534,(585) 446-2000,"Full-service family YMCA with pools, fitness classes, youth programs"
Westside Family YMCA,920 Elmgrove Road,Rochester,NY,14624,(585) 247-3501,"Family YMCA with fitness center, pools, youth activities"
Maplewood Family YMCA,25 Driving Park Ave,Rochester,NY,14613,(585) 647-3600,"Community YMCA with yoga classes, pools, fitness programs"
Bay View Family YMCA,1209 Bay Road,Webster,NY,14580,(585) 671-8414,"Family YMCA with aquatics, fitness classes, youth services"
Eastside Family YMCA,1835 Fairport Nine Mile Point Road,Penfield,NY,14526,(585) 383-5350,"Full-service family YMCA with pools, fitness, youth programs"
Northwest Family YMCA,730 Long Pond Road,Rochester,NY,14612,(585) 227-3900,"Family YMCA with fitness center, aquatics, youth programs"
The YMCA at Innovation Square,100 S Clinton Ave Suite C250,Rochester,NY,14604,(585) 723-3020,Fitness center in downtown Rochester with E circuit training equipment
The Thurston Road YMCA Neighborhood Center,597 Thurston Road,Rochester,NY,14619,(585) 328-9330,Neighborhood center with fitness and community programs
The Lewis Street YMCA Neighborhood Center,53 Lewis Street,Rochester,NY,14605,(585) 325-2572,Neighborhood center with fitness and youth services
Sands Family YMCA,351 North Street,Canandaigua,NY,14424,(585) 394-3810,"Family YMCA with pools, fitness center, youth programs"
Corning Family YMCA,127 Center Way,Corning,NY,14830,(607) 936-4638,"Family YMCA with aquatics, fitness classes, community services"
The Y at Watson Woods,9620 Dry Run Road,Painted Post,NY,14870,(607) 936-6566,Fitness facility with full-service amenities and youth programs
YMCA of Greater Rochester Association Office,100 Chestnut Street Suite 901,Rochester,NY,14604,(585) 546-5500,Main administrative office for YMCA of Greater Rochester
